vehicle_manoeuvre,first_point_of_impact,engine_capacity_cc,propulsion_code,age_of_vehicle,accident_severity,number_of_casualties,road_type,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site
Going ahead other,Back,1242,Petrol,5,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Moving off,Front,998,Petrol,4,1,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,998,Petrol,1,1,1,Dual carriageway,Darkness - lights unlit,Fine no high winds,Dry,None
Slowing or stopping,Back,998,Petrol,0,2,2,Dual carriageway,Daylight,Fine no high winds,Dry,None
Parked,Back,1242,Petrol,5,2,2,Dual carriageway,Daylight,Fine no high winds,Dry,None
Slowing or stopping,Front,1596,Petrol,2,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Parked,Offside,1084,Petrol,0,2,1,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,1,2,2,Single carriageway,Daylight,Raining no high winds,Wet or Damp,None
Parked,Offside,1560,Heavy oil,4,2,1,Dual carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,2,1,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Offside,1596,Petrol,5,2,1,Single carriageway,Daylight,Fine no high winds,Wet or Damp,None
Going ahead other,Front,998,Petrol,3,1,1,Single carriageway,Daylight,Raining no high winds,Wet or Damp,None
Waiting to turn right,Back,998,Petrol,5,2,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Back,1242,Petrol,5,2,3,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,1,1,1,Dual carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Nearside,1242,Petrol,2,2,4,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,0,2,3,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,1596,Petrol,2,1,2,Dual carriageway,Darkness - lights unlit,Fine no high winds,Dry,None
Turn right,Front,1242,Petrol,3,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,998,Petrol,0,2,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Slowing or stopping,Back,998,Petrol,1,1,1,Single carriageway,Darkness - lights lit,Fine no high winds,Dry,None
Slowing or stopping,Back,1242,Petrol,1,2,1,Dual carriageway,Darkness - lights lit,Fine no high winds,Dry,None
Turn right,Front,1242,Petrol,3,2,1,Single carriageway,Daylight,Raining + high winds,Wet or Damp,None
Slowing or stopping,Offside,1242,Petrol,5,2,1,Single carriageway,Daylight,Raining no high winds,Wet or Damp,Roadworks
Turn right,Front,998,Petrol,3,1,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Parked,Back,1560,Heavy oil,4,2,1,Dual carriageway,Daylight,Fine no high winds,Wet or Damp,None
Going ahead left-hand bend,Offside,998,Petrol,0,2,1,Roundabout,Daylight,Fine no high winds,Dry,None
Parked,Did not impact,998,Petrol,2,2,1,Single carriageway,Darkness - lights lit,Raining no high winds,Wet or Damp,None
Going ahead left-hand bend,Front,998,Petrol,1,2,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Waiting to go - held up,Back,1242,Petrol,5,2,2,Slip road,Darkness - lights lit,Fine + high winds,Wet or Damp,Auto traffic signal - out
Waiting to go - held up,Back,998,Petrol,4,2,9,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead right-hand bend,Front,1242,Petrol,5,2,3,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Offside,1242,Petrol,3,2,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Turn right,Back,1242,Petrol,3,2,2,Single carriageway,Daylight,Fine no high winds,Dry,None
Turning left,Front,1242,Petrol,2,1,1,Single carriageway,Daylight,Fine no high winds,Dry,None
Going ahead other,Front,1499,Heavy oil,4,2,4,Dual carriageway,Daylight,Fine no high winds,Dry,None
